"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00043714","HALF MOON BAY, CA US","2020-11-25",,"57","48","55"
"USC00043714","HALF MOON BAY, CA US","2020-11-26",,"63","34","63"
"USC00043714","HALF MOON BAY, CA US","2020-11-27",,"64","34","57"
"USC00043714","HALF MOON BAY, CA US","2020-11-28",,"64","31","63"
"USC00043714","HALF MOON BAY, CA US","2020-11-29",,"64","35","55"
"USC00043714","HALF MOON BAY, CA US","2020-11-30",,"57","33","57"
"USC00046144","NEWARK, CA US","2020-09-01",,"70","61",
"USC00046144","NEWARK, CA US","2020-09-02",,"71","58",
"USC00046144","NEWARK, CA US","2020-09-03",,"68","59",
"USC00046144","NEWARK, CA US","2020-09-04",,"77","58",
"USC00046144","NEWARK, CA US","2020-09-05",,"94","65",
